id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1369,4210256107,Serralheria,TUBO EM METALON COR BRONZE -1610MTS,0,,2025-01-07,2025-02-07,2,METAL ITALO,2025-02-07,
1370,4210256114,Acessorios Avulsos,LIXEIRA SIMPLES 2066,0,,,,1,ESTOQUE,2025-01-03,
1371,4210256114,Porta de Aluminio,PORTA DE VIDRO REFLECTA PRATA PERFIL ALUM FINO PRETO 345 X 626,0,,2025-03-05,2025-03-20,2,VALTER,2025-03-21,345 X 626MM
1372,4210256114,Acessorios Avulsos,SUPORTE PARA TAÇAS 25CM,0,,,,12,ESTOQUE,2025-01-03,250MM
1373,4210256114,Acessorios Avulsos,KIT ATIRA GAVETA ALTA COM HASTE - COR ANTRACITO - CÓD 38625,0,,2025-02-10,2025-02-25,4,BIGFER,2025-02-18,
1374,4210262501,Vidro / Espelho,VIDRO INCOLOR 6MM,0,,,,3,VALTER,2025-01-30,656X70
1375,4200521501,Porta de Aluminio,PORTA PERFIL OCULTO PUX ABA100 CHAMPAGNE CLARO E VIDRO REFLECTA BRONZE - COZ E LAV,0,,2025-02-06,2025-02-21,3,VALTER,2025-02-21,415x795
1376,4200521501,Acessorios Avulsos,LIXEIRA DUPLA SCHMITT 2072,0,,2025-01-08,2025-01-21,1,Schmitt,2025-05-08,
1377,4200521501,Serralheria,ESTRUTURA METALON DE 30MM C/ 2 PRATELEIRAS DE VIDRO - CHAMPAGNE CLARO,0,,,,1,METAL ITALO,2025-04-29,
1378,4200521501,Porta de Aluminio,PORTA PERFI OCULTO PUX ABA100 CHAMPAGNE CLARO E VIDRO REFLECTA BRONZE - LIVING,0,,2025-02-06,2025-02-21,2,VALTER,2025-02-21,665x367
1379,4200521501,Vidro / Espelho,PRATELEIRA VIDRO 8MM - CRISTALEIRA,0,,2025-02-06,2025-02-21,5,VALTER,2025-02-24,847x341
1380,4200521501,Acessorios Avulsos,FECHO ROLETE SEM CHAVE,0,,,,1,ESTOQUE,2025-02-06,
1381,4200521506,Acessorios Avulsos,MAO FRANCESA 30CM,0,,,,24,ESTOQUE,2025-03-04,
1382,4210251601,Serralheria,GRAPA 350MM,0,,,,4,VAGNER,2025-02-21,
1383,4210251601,Serralheria,GRAPA 550MM,0,,,,2,VAGNER,2025-02-21,
1384,4200550701,Porta de Aluminio,GIRO PERFIL ALUM FINO PRETO COM PUX 098 PRETO E ESPELHO FUME,0,,,,2,VALTER,2025-02-07,498  X 275
1385,4200550703,Porta de Aluminio,PORTA PERF ALUM PRETO E PUX 098 ESPELHO FUME,0,,,,1,VALTER,2025-02-07,2224 X 411
