ordemdecompra,avulso,paineis,portaaluminio,vidros,pecaspintadas,tapecaria,serralheria,cabide,trilho,volmod,avulsol,paineisl,portaaluminiol,vidrosl,pecaspintadasl,tapecarial,serralherial,cabidel,trilhol,modulosl,avulsoq,paineisq,portaaluminioq,vidrosq,pecaspintadasq,tapecariaq,serralheriaq,cabideq,trilhoq,modulosq,totalvolumes
4200527002,true,true,false,false,false,false,false,true,false,true,BOX 17,8E10,,,,,,8E10,,8E10,1,,0,0,0,0,0,1,0,26,26
4200527003,true,false,true,false,false,false,false,false,false,true,BOX 1,,BOX 14,,,,,,,ILHA,1,0,2,0,0,0,0,0,0,3,6
4200527004,true,false,false,false,false,false,false,false,false,true,BOX 10,,,,,,,,,BOX 8,3,0,0,0,0,0,0,0,0,73,75
4200527005,true,false,false,false,false,false,false,false,false,true,BOX1,,,,,,,,,MEIO,1,0,0,0,0,0,0,0,0,7,8
4200527101,true,false,false,false,false,false,false,false,false,true,BOX 12,,,,,,,,,BOX 7,1,0,0,0,0,0,0,0,0,19,20
4200527301,true,true,false,true,false,false,false,true,false,true,BOX 19,BOX 9,,BOX 10,,,,BOX 9,,BOX 9,1,,0,1,0,0,0,1,0,48,51
4200527302,true,false,false,false,false,false,false,false,false,true,BOX 21,,,,,,,,,BOX 10,1,0,0,0,0,0,0,0,0,35,36
4200527401,true,false,false,false,false,false,false,true,false,true,BOX 24,,,,,,,BOX 06,,BOX 06,1,0,0,0,0,0,0,1,0,41,43
4200527402,true,false,false,false,false,false,false,false,false,true,BOX 1,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,12,13
4200527403,true,true,false,false,false,false,false,false,false,true,BOX 27,BOX 3,,,,,,,,BOX 3,1,,0,0,0,0,0,0,0,18,19
4200527405,true,true,true,false,false,false,false,false,true,true,BOX 7,BOX 7,BOX 6,,,,,,BOX 7,BOX 7,1,1,1,0,0,0,0,0,1,40,44
4200527501,true,false,false,false,false,false,true,false,false,true,BOX 25,,,,,,MEIO,,,MEIO,3,0,0,0,0,0,1,0,0,77,80
4200527502,true,false,true,false,false,false,false,false,false,true,BOX 4,,BOX 1,,,,,,,ILHA,1,0,2,0,0,0,0,0,0,7,10
4200527601,true,true,false,false,false,false,false,true,false,true,BOX 15,BOX 8,,,,,,BOX 8,,BOX 8,1,,0,0,0,0,0,1,0,40,42
4200527602,true,true,false,false,false,false,false,true,false,true,BOX 33,BOX 2,,,,,,BOX 2,,BOX 2,2,,0,0,0,0,0,1,0,40,43
4200527901,true,true,true,true,false,false,false,false,false,true,BOX 23,JUNTOS 06,BOX 03,BOX 03,,,,,,BOX 06,1,3,1,2,0,0,0,0,0,105,109
4200528001,true,false,false,false,false,false,false,true,true,true,BOX 26,,,,,,,BOX 10,BOX 10,BOX 10,3,0,0,0,0,0,0,1,1,87,90
4200528002,true,false,true,false,false,false,false,false,false,true,BOX 31,,BO0X 10,,,,,,,MEIO,4,0,1,0,0,0,0,0,0,89,94
4200528101,true,false,true,false,false,false,false,false,false,true,BOX 26,,BOX 14,,,,,,,MEIO,3,0,3,0,0,0,0,0,0,94,100
4200528102,true,false,false,true,false,false,false,true,false,true,BOX 18,,,BOX 3,,,,BOX 5,,BOX 5,1,0,0,1,0,0,0,1,0,83,86
4200528103,true,false,true,false,false,true,true,false,false,true,BOX 8,,BOX 14,,,FALTANDO,ILHA,,,ILHA,1,0,4,0,0,,1,0,0,17,22
4200528104,true,false,true,false,false,false,false,false,false,true,BOX 5,,OK BOX 15,,,,,,,ILHA,1,0,5,0,0,0,0,0,0,4,10
4200528105,true,false,true,false,false,false,false,false,false,true,BOX 2,,BOX 7,,,,,,,ILHA,1,0,5,0,0,0,0,0,0,10,16
4200528106,true,false,false,false,false,false,false,false,false,true,BOX 1,,,,,,,,,ILHA,1,0,0,0,0,0,0,0,0,7,8
4200528107,true,true,false,true,false,false,false,true,false,true,BOX 30,BOX 6,,BOX 6,,,,BOX 6,,BOX 6,2,,0,1,0,0,0,1,0,49,52
4200528108,true,false,false,false,false,false,false,true,false,true,BOX 13,,,,,,,BOX 5,,BOX 5,1,0,0,0,0,0,0,1,0,51,53
4200528109,true,false,false,false,false,false,false,false,false,true,BOX 6,,,,,,,,,MEIO,1,0,0,0,0,0,0,0,0,14,15
4200528201,true,true,false,false,false,false,true,true,false,true,BOX 31,BOX 5,,,,,OK,BOX 5,,BOX 5,2,,0,0,0,0,1,1,0,60,63
4200528301,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
4200528302,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
4200528303,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
4200528304,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
4200528305,true,false,true,false,false,false,false,false,true,true,BOX 03,,"FALTANDO ",,,,,,BOX 16,BOX 16,1,0,2,0,0,0,0,0,1,5,9
4200528306,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
4200528307,true,false,false,false,false,false,false,false,false,true,BOX 04,,,,,,,,,BOX 03,1,0,0,0,0,0,0,0,0,4,5
4200528501,true,false,false,false,false,false,false,true,false,true,BOX 22,,,,,,,MEIO,,MEIO,1,0,0,0,0,0,0,1,0,67,69
4200528502,true,false,false,false,false,false,false,false,false,true,BOX 1,,,,,,,,,MEIO,1,0,0,0,0,0,0,0,0,2,3
4200529201,true,false,false,false,false,false,false,false,false,true,BOX 1,,,,,,,,,BOX 3,1,0,0,0,0,0,0,0,0,3,4
4200529301,true,false,false,false,false,false,false,false,false,true,BOX 32,,,,,,,,,MEIO,2,0,0,0,0,0,0,0,0,73,75
4200529501,true,false,false,false,false,false,false,false,false,true,BOX 31,,,,,,,,,BOX 8,2,0,0,0,0,0,0,0,0,67,69
4200529502,true,false,false,false,false,false,false,false,false,true,BOX 19,,,,,,,,,MEIO,1,0,0,0,0,0,0,0,0,11,12
4200529503,true,false,false,false,false,false,false,true,false,true,BOX 19,,,,,,,BOX 8,,BOX 8,1,0,0,0,0,0,0,1,0,39,41
4200529504,true,true,true,false,false,false,false,true,true,true,BOX 3,BOX 11,BOX 9,,,,,BOX 11,BOX 11,BOX 11,1,,1,0,0,0,0,1,11,22,26
4200529505,true,false,true,false,false,false,false,false,true,true,BOX 4,,BOX 1,,,,,,ILHA,ILHA,1,0,1,0,0,0,0,0,1,10,13
4200529901,true,false,true,true,false,false,false,false,false,true,BOX 31,,BOX 04," BOX 03",,,,,,MEIO,4,0,4,8,0,0,0,0,0,120,136
4200529902,true,false,false,false,false,false,false,false,false,true,BOX 12,,,,,,,,,BOX 08,1,0,0,0,0,0,0,0,0,34,35
4200529903,true,true,false,false,false,false,false,false,false,true,BOX 1,BOX 6,,,,,,,,BOX 6,1,2,0,0,0,0,0,0,0,29,32
